0s - (0,0,0) - LoginPlayerState
0s - (32097,32206,7) - Map
0s - (32097,32206,7) - EffectGraphical
0s - (32097,32206,7) - InventoryItemSet
0s - (32097,32206,7) - InventoryItemSet
0s - (32097,32206,7) - InventoryItemSet
0s - (32097,32206,7) - InventoryItemSet
0s - (32097,32206,7) - PlayerStats
0s - (32097,32206,7) - EffectLight
0s - (32097,32206,7) - CreatureLight
0s - (32097,32206,7) - PlayerSkills
0s - (32097,32206,7) - Message
0s - (32097,32206,7) - CreatureMove
0s - (32097,32206,7) - CreatureMove
0s - (32096,32206,7) - MoveWest
1s - (32096,32206,7) - CreatureMove
1s - (32095,32206,7) - MoveWest
1s - (32095,32206,7) - CreatureMove
1s - (32095,32207,7) - MoveSouth
2s - (32095,32207,7) - CreatureMove
2s - (32095,32207,7) - ContainerOpen
3s - (32095,32207,7) - CreatureMove
3s - (32095,32208,7) - MoveSouth
4s - (32095,32208,7) - CreatureMove
4s - (32095,32208,7) - TileItemUpdate
4s - (32095,32208,7) - TileItemAdd
4s - (32095,32208,7) - TileItemUpdate
4s - (32095,32208,7) - TileItemUpdate
5s - (32095,32208,7) - TileItemRemove
5s - (32095,32208,7) - ContainerItemAdd
5s - (32095,32208,7) - PlayerStats
5s - (32095,32208,7) - CreatureMove
5s - (32095,32209,7) - MoveSouth
5s - (32095,32209,7) - CreatureMove
5s - (32095,32210,7) - MoveSouth
6s - (32095,32210,7) - CreatureMove
6s - (32095,32210,7) - CreatureMove
6s - (32096,32210,7) - MoveEast
7s - (32096,32210,7) - CreatureMove
7s - (32097,32210,7) - MoveEast
7s - (32097,32210,7) - CreatureMove
7s - (32098,32210,7) - MoveEast
7s - (32098,32210,7) - EffectLight
8s - (32098,32210,7) - CreatureMove
8s - (32098,32210,7) - CreatureMove
8s - (32098,32210,7) - CreatureMove
8s - (32099,32210,7) - MoveEast
8s - (32099,32210,7) - TileItemUpdate
8s - (32099,32210,7) - TileItemAdd
8s - (32099,32210,7) - TileItemUpdate
8s - (32099,32210,7) - TileItemUpdate
10s - (32099,32210,7) - TileItemRemove
10s - (32099,32210,7) - CreatureMove
10s - (32099,32210,7) - TileItemRemove
10s - (32099,32210,7) - ContainerItemAdd
10s - (32099,32210,7) - PlayerStats
10s - (32099,32210,7) - CreatureMove
10s - (32099,32211,7) - MoveSouth
